t(s)	deltaD	t rescaled
0.003333333	0	-10.44966667
0.02	0	-10.433
0.036666667	-0.211111111	-10.41633333
0.053333333	-0.422222222	-10.39966667
0.07	-0.488888889	-10.383
0.086666667	-1.277777778	-10.36633333
0.103333333	-0.922222222	-10.34966667
0.12	-1.344444444	-10.333
0.136666667	-1.2	-10.31633333
0.153333333	-1.488888889	-10.29966667
0.17	-1.633333333	-10.283
0.186666667	-1.988888889	-10.26633333
0.203333333	-1.844444444	-10.24966667
0.22	-2.411111111	-10.233
0.236666667	-1.911111111	-10.21633333
0.253333333	-2.622222222	-10.19966667
0.27	-2.2	-10.183
0.286666667	-2.488888889	-10.16633333
0.303333333	-2.344444444	-10.14966667
0.32	-2.133333333	-10.133
0.336666667	-2.555555556	-10.11633333
0.353333333	-2.7	-10.09966667
0.37	-2.766666667	-10.083
0.386666667	-3.055555556	-10.06633333
0.403333333	-2.911111111	-10.04966667
0.42	-3.055555556	-10.033
0.436666667	-2.911111111	-10.01633333
0.453333333	-3.266666667	-9.999666667
0.47	-2.844444444	-9.983
0.486666667	-3.2	-9.966333333
0.503333333	-3.555555556	-9.949666667
0.52	-3.411111111	-9.933
0.536666667	-3.055555556	-9.916333333
0.553333333	-3.411111111	-9.899666667
0.57	-3.477777778	-9.883
0.586666667	-3.766666667	-9.866333333
0.603333333	-3.911111111	-9.849666667
0.62	-3.411111111	-9.833
0.636666667	-3.766666667	-9.816333333
0.653333333	-3.977777778	-9.799666667
0.67	-3.2	-9.783
0.686666667	-3.688888889	-9.766333333
0.703333333	-3.833333333	-9.749666667
0.72	-3.766666667	-9.733
0.736666667	-3.911111111	-9.716333333
0.753333333	-3.688888889	-9.699666667
0.77	-4.188888889	-9.683
0.786666667	-3.688888889	-9.666333333
0.803333333	-4.266666667	-9.649666667
0.82	-4.4	-9.633
0.836666667	-4.333333333	-9.616333333
0.853333333	-5.822222222	-9.599666667
0.87	-6.611111111	-9.583
0.886666667	-6.322222222	-9.566333333
0.903333333	-5.755555556	-9.549666667
0.92	-6.177777778	-9.533
0.936666667	-6.255555556	-9.516333333
0.953333333	-6.177777778	-9.499666667
0.97	-6.044444444	-9.483
0.986666667	-6.533333333	-9.466333333
1.003333333	-6.177777778	-9.449666667
1.02	-6.177777778	-9.433
1.036666667	-6.533333333	-9.416333333
1.053333333	-6.466666667	-9.399666667
1.07	-6.177777778	-9.383
1.086666667	-6.466666667	-9.366333333
1.103333333	-6.255555556	-9.349666667
1.12	-6.677777778	-9.333
1.136666667	-6.611111111	-9.316333333
1.153333333	-6.888888889	-9.299666667
1.17	-6.533333333	-9.283
1.186666667	-6.888888889	-9.266333333
1.203333333	-6.888888889	-9.249666667
1.22	-7.033333333	-9.233
1.236666667	-7.111111111	-9.216333333
1.253333333	-6.611111111	-9.199666667
1.27	-6.966666667	-9.183
1.286666667	-6.755555556	-9.166333333
1.303333333	-7.388888889	-9.149666667
1.32	-6.966666667	-9.133
1.336666667	-7.111111111	-9.116333333
1.353333333	-7.244444444	-9.099666667
1.37	-7.6	-9.083
1.386666667	-7.322222222	-9.066333333
1.403333333	-7.6	-9.049666667
1.42	-7.111111111	-9.033
1.436666667	-7.888888889	-9.016333333
1.453333333	-7.822222222	-8.999666667
1.47	-7.388888889	-8.983
1.486666667	-7.533333333	-8.966333333
1.503333333	-7.466666667	-8.949666667
1.52	-7.822222222	-8.933
1.536666667	-7.955555556	-8.916333333
1.553333333	-7.677777778	-8.899666667
1.57	-8.177777778	-8.883
1.586666667	-8.533333333	-8.866333333
1.603333333	-8.177777778	-8.849666667
1.62	-8.177777778	-8.833
1.636666667	-8.666666667	-8.816333333
1.653333333	-8.6	-8.799666667
1.67	-8.388888889	-8.783
1.686666667	-8.1	-8.766333333
1.703333333	-8.6	-8.749666667
1.72	-8.666666667	-8.733
1.736666667	-8.744444444	-8.716333333
1.753333333	-9.166666667	-8.699666667
1.77	-8.666666667	-8.683
1.786666667	-8.888888889	-8.666333333
1.803333333	-8.888888889	-8.649666667
1.82	-8.533333333	-8.633
1.836666667	-9.022222222	-8.616333333
1.853333333	-9.244444444	-8.599666667
1.87	-9.244444444	-8.583
1.886666667	-9.244444444	-8.566333333
1.903333333	-9.377777778	-8.549666667
1.92	-9.6	-8.533
1.936666667	-9.522222222	-8.516333333
1.953333333	-9.455555556	-8.499666667
1.97	-9.166666667	-8.483
1.986666667	-9.811111111	-8.466333333
2.003333333	-9.811111111	-8.449666667
2.02	-9.522222222	-8.433
2.036666667	-10.08888889	-8.416333333
2.053333333	-9.666666667	-8.399666667
2.07	-9.877777778	-8.383
2.086666667	-10.08888889	-8.366333333
2.103333333	-10.02222222	-8.349666667
2.12	-10.37777778	-8.333
2.136666667	-10.16666667	-8.316333333
2.153333333	-10.23333333	-8.299666667
2.17	-10.37777778	-8.283
2.186666667	-10.44444444	-8.266333333
2.203333333	-10.37777778	-8.249666667
2.22	-10.66666667	-8.233
2.236666667	-10.52222222	-8.216333333
2.253333333	-10.37777778	-8.199666667
2.27	-10.73333333	-8.183
2.286666667	-10.73333333	-8.166333333
2.303333333	-10.44444444	-8.149666667
2.32	-10.66666667	-8.133
2.336666667	-10.58888889	-8.116333333
2.353333333	-10.58888889	-8.099666667
2.37	-10.8	-8.083
2.386666667	-10.73333333	-8.066333333
2.403333333	-10.58888889	-8.049666667
2.42	-10.58888889	-8.033
2.436666667	-11.15555556	-8.016333333
2.453333333	-10.94444444	-7.999666667
2.47	-11.08888889	-7.983
2.486666667	-10.8	-7.966333333
2.503333333	-11.02222222	-7.949666667
2.52	-11.3	-7.933
2.536666667	-10.8	-7.916333333
2.553333333	-10.94444444	-7.899666667
2.57	-11.3	-7.883
2.586666667	-11.37777778	-7.866333333
2.603333333	-11.15555556	-7.849666667
2.62	-11.02222222	-7.833
2.636666667	-11.23333333	-7.816333333
2.653333333	-11.51111111	-7.799666667
2.67	-11.8	-7.783
2.686666667	-11.3	-7.766333333
2.703333333	-11.15555556	-7.749666667
2.72	-10.87777778	-7.733
2.736666667	-11.15555556	-7.716333333
2.753333333	-11.44444444	-7.699666667
2.77	-11.02222222	-7.683
2.786666667	-11.37777778	-7.666333333
2.803333333	-11.3	-7.649666667
2.82	-11.51111111	-7.633
2.836666667	-11.37777778	-7.616333333
2.853333333	-11.44444444	-7.599666667
2.87	-11.73333333	-7.583
2.886666667	-11.51111111	-7.566333333
2.903333333	-11.3	-7.549666667
2.92	-11.44444444	-7.533
2.936666667	-11.37777778	-7.516333333
2.953333333	-11.51111111	-7.499666667
2.97	-11.44444444	-7.483
2.986666667	-12.22222222	-7.466333333
3.003333333	-11.58888889	-7.449666667
3.02	-12.36666667	-7.433
3.036666667	-11.86666667	-7.416333333
3.053333333	-11.65555556	-7.399666667
3.07	-11.8	-7.383
3.086666667	-12.22222222	-7.366333333
3.103333333	-11.73333333	-7.349666667
3.12	-11.58888889	-7.333
3.136666667	-12.22222222	-7.316333333
3.153333333	-12.08888889	-7.299666667
3.17	-11.58888889	-7.283
3.186666667	-11.94444444	-7.266333333
3.203333333	-11.86666667	-7.249666667
3.22	-12.44444444	-7.233
3.236666667	-11.51111111	-7.216333333
3.253333333	-12.01111111	-7.199666667
3.27	-11.58888889	-7.183
3.286666667	-11.8	-7.166333333
